region,incomegroup,foundedyr
Latin America and Caribbean,Upper middle income,1968
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1992
Latin America and Caribbean,Upper middle income,1953
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1974
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1968
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1974
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1974
Latin America and Caribbean,Upper middle income,1951
North America,High income,1911
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1946
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,1997
Latin America and Caribbean,Upper middle income,1971
Latin America and Caribbean,Upper middle income,1949
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2003
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1971
Latin America and Caribbean,Upper middle income,1967
Latin America and Caribbean,Upper middle income,1959
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1996
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2003
Latin America and Caribbean,High income,1956
Latin America and Caribbean,Upper middle income,1981
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,2003
Latin America and Caribbean,Upper middle income,1947
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,2003
Latin America and Caribbean,Upper middle income,2007
East Asia and Pacific,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2003
Latin America and Caribbean,Upper middle income,2005
East Asia and Pacific,Upper middle income,1950
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,2000
East Asia and Pacific,Upper middle income,1951
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,1987
Latin America and Caribbean,Upper middle income,2009
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,2007
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2012
East Asia and Pacific,Upper middle income,1978
East Asia and Pacific,Upper middle income,1953
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,2008
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,1971
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,1977
Latin America and Caribbean,Upper middle income,1975
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1967
Latin America and Caribbean,Lower middle income,1990
Latin America and Caribbean,Lower middle income,1990
Latin America and Caribbean,Upper middle income,1965
Latin America and Caribbean,Lower middle income,1995
Latin America and Caribbean,Lower middle income,1997
Latin America and Caribbean,Lower middle income,2002
Latin America and Caribbean,Lower middle income,1982
Latin America and Caribbean,Lower middle income,2008
Latin America and Caribbean,Upper middle income,1968
Latin America and Caribbean,Lower middle income,2008
Latin America and Caribbean,Lower middle income,2008
Latin America and Caribbean,Lower middle income,2003
Latin America and Caribbean,Lower middle income,1995
Latin America and Caribbean,Lower middle income,1830
Latin America and Caribbean,Lower middle income,1832
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,1954
Latin America and Caribbean,Upper middle income,1965
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,1950
Latin America and Caribbean,Upper middle income,1970
East Asia and Pacific,Upper middle income,1958
Latin America and Caribbean,Upper middle income,1960
Latin America and Caribbean,Upper middle income,2001
East Asia and Pacific,Upper middle income,1985
Latin America and Caribbean,Upper middle income,1971
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1966
East Asia and Pacific,Upper middle income,2003
Latin America and Caribbean,Upper middle income,1966
Latin America and Caribbean,Upper middle income,1974
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1961
East Asia and Pacific,Upper middle income,1921
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,1986
East Asia and Pacific,Upper middle income,1978
Latin America and Caribbean,Upper middle income,1979
East Asia and Pacific,Upper middle income,1937
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1983
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2001
East Asia and Pacific,Upper middle income,1979
Latin America and Caribbean,Upper middle income,1966
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1971
Latin America and Caribbean,Upper middle income,1967
Latin America and Caribbean,Upper middle income,1968
Latin America and Caribbean,Upper middle income,1968
Latin America and Caribbean,Upper middle income,1967
East Asia and Pacific,Upper middle income,1958
Latin America and Caribbean,Upper middle income,1974
Latin America and Caribbean,Upper middle income,1969
Latin America and Caribbean,Upper middle income,1952
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2002
East Asia and Pacific,Upper middle income,1958
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1976
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2002
East Asia and Pacific,Upper middle income,1991
Latin America and Caribbean,Upper middle income,1988
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,2000
East Asia and Pacific,Upper middle income,1984
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1977
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1988
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,2002
East Asia and Pacific,Upper middle income,1923
Latin America and Caribbean,Upper middle income,1908
Latin America and Caribbean,Upper middle income,1921
Latin America and Caribbean,Upper middle income,1971
Latin America and Caribbean,Upper middle income,2000
East Asia and Pacific,Upper middle income,1938
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1986
Latin America and Caribbean,Upper middle income,2002
East Asia and Pacific,Upper middle income,1923
Latin America and Caribbean,Upper middle income,1986
Latin America and Caribbean,Upper middle income,1994
East Asia and Pacific,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1991
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1963
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,2007
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2007
Latin America and Caribbean,Upper middle income,2008
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,2008
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2006
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2009
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1987
Latin America and Caribbean,Upper middle income,2000
Europe and Central Asia,Upper middle income,1920
Europe and Central Asia,Upper middle income,1954
Europe and Central Asia,High income,2007
Europe and Central Asia,Upper middle income,1933
Europe and Central Asia,High income,1955
Europe and Central Asia,Upper middle income,1921
Europe and Central Asia,Upper middle income,1914
Europe and Central Asia,High income,1911
Europe and Central Asia,Upper middle income,1930
Europe and Central Asia,Upper middle income,1921
Europe and Central Asia,Upper middle income,1973
Europe and Central Asia,Upper middle income,1937
Europe and Central Asia,Upper middle income,1964
Europe and Central Asia,Upper middle income,1975
Europe and Central Asia,Upper middle income,1964
Europe and Central Asia,Upper middle income,1953
Europe and Central Asia,High income,1874
Europe and Central Asia,Upper middle income,1964
Europe and Central Asia,Upper middle income,1990
Europe and Central Asia,Upper middle income,1945
Europe and Central Asia,Upper middle income,1961
Europe and Central Asia,Upper middle income,1966
Europe and Central Asia,Upper middle income,1961
Europe and Central Asia,Upper middle income,1993
Europe and Central Asia,Upper middle income,1990
Europe and Central Asia,Upper middle income,1981
Europe and Central Asia,Upper middle income,1930
Europe and Central Asia,High income,1995
Europe and Central Asia,Upper middle income,1958
Europe and Central Asia,Upper middle income,1978
Europe and Central Asia,Upper middle income,1940
Europe and Central Asia,High income,1995
Europe and Central Asia,Upper middle income,1951
Europe and Central Asia,Upper middle income,1973
Europe and Central Asia,High income,1949
Europe and Central Asia,Upper middle income,1913
Europe and Central Asia,Upper middle income,1948
Europe and Central Asia,Upper middle income,1974
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1944
Europe and Central Asia,Upper middle income,1944
Europe and Central Asia,Upper middle income,1965
Latin America and Caribbean,Upper middle income,1989
Latin America and Caribbean,Upper middle income,1979
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1975
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1971
East Asia and Pacific,Upper middle income,1932
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1985
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2007
Latin America and Caribbean,Upper middle income,1989
Latin America and Caribbean,Upper middle income,1980
East Asia and Pacific,Upper middle income,1920
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1997
Latin America and Caribbean,Upper middle income,1989
Latin America and Caribbean,Upper middle income,1986
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1976
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1978
Latin America and Caribbean,Upper middle income,1992
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,1968
Latin America and Caribbean,Upper middle income,2008
Latin America and Caribbean,Upper middle income,1967
Latin America and Caribbean,Upper middle income,1985
Latin America and Caribbean,Upper middle income,1997
Latin America and Caribbean,Upper middle income,1966
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2006
Latin America and Caribbean,Upper middle income,2006
Latin America and Caribbean,Upper middle income,1975
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1984
Latin America and Caribbean,Upper middle income,1974
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1992
Latin America and Caribbean,Upper middle income,1974
Latin America and Caribbean,Upper middle income,1963
Latin America and Caribbean,Upper middle income,1951
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1985
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1966
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2003
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1975
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1965
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1964
Latin America and Caribbean,Upper middle income,1986
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,1992
Latin America and Caribbean,Upper middle income,1989
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,1985
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,1942
Latin America and Caribbean,Upper middle income,1980
Latin America and Caribbean,Upper middle income,1985
Latin America and Caribbean,Upper middle income,1983
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,1968
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1947
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1969
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1997
Latin America and Caribbean,Upper middle income,1933
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,1982
Latin America and Caribbean,Upper middle income,1969
Latin America and Caribbean,Upper middle income,1950
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1950
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,2003
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,1965
Latin America and Caribbean,Upper middle income,1997
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1997
Latin America and Caribbean,Upper middle income,2003
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,2007
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,1976
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,1990
Latin America and Caribbean,Upper middle income,1984
Latin America and Caribbean,Upper middle income,1982
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,1947
Latin America and Caribbean,Upper middle income,1909
Latin America and Caribbean,Upper middle income,1997
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1964
Latin America and Caribbean,Upper middle income,1909
Latin America and Caribbean,Upper middle income,2008
Latin America and Caribbean,Upper middle income,2008
Latin America and Caribbean,Upper middle income,1910
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1968
Latin America and Caribbean,Upper middle income,1909
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1989
Latin America and Caribbean,Upper middle income,1960
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1985
Latin America and Caribbean,Upper middle income,1959
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1964
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1909
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,1956
Latin America and Caribbean,Upper middle income,2006
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,1811
Latin America and Caribbean,Upper middle income,1988
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1967
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,2009
Latin America and Caribbean,Upper middle income,1988
Latin America and Caribbean,Upper middle income,1965
Latin America and Caribbean,Upper middle income,1986
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1915
Latin America and Caribbean,Upper middle income,2006
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1989
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1964
Latin America and Caribbean,Upper middle income,2003
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1969
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2003
Latin America and Caribbean,Upper middle income,1941
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1985
Latin America and Caribbean,Upper middle income,1962
East Asia and Pacific,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,2006
Latin America and Caribbean,Upper middle income,2006
Latin America and Caribbean,Upper middle income,1989
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1979
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2008
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2007
Latin America and Caribbean,Upper middle income,1992
Latin America and Caribbean,Upper middle income,2000
Sub-Saharan Africa,Low income,1971
Latin America and Caribbean,Upper middle income,2003
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1997
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2002
Europe and Central Asia,High income,1976
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1981
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1962
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1947
Latin America and Caribbean,Upper middle income,1967
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1988
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,1940
Latin America and Caribbean,Upper middle income,1941
Latin America and Caribbean,Upper middle income,1958
Latin America and Caribbean,Upper middle income,1988
Latin America and Caribbean,Upper middle income,1946
Latin America and Caribbean,Upper middle income,1959
Latin America and Caribbean,Upper middle income,1940
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,1931
Latin America and Caribbean,Upper middle income,1992
Latin America and Caribbean,Upper middle income,1971
Latin America and Caribbean,Upper middle income,1981
Latin America and Caribbean,Upper middle income,1957
Latin America and Caribbean,Upper middle income,1996
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,1989
Latin America and Caribbean,Upper middle income,1919
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,1974
Latin America and Caribbean,Upper middle income,1959
Latin America and Caribbean,Upper middle income,1974
Latin America and Caribbean,Upper middle income,1960
Latin America and Caribbean,Upper middle income,1961
Latin America and Caribbean,Upper middle income,1951
Latin America and Caribbean,Upper middle income,1953
Latin America and Caribbean,Upper middle income,1961
Latin America and Caribbean,Upper middle income,1951
Latin America and Caribbean,Upper middle income,1961
Latin America and Caribbean,Upper middle income,1992
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1965
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,1968
Latin America and Caribbean,Upper middle income,1997
Latin America and Caribbean,Upper middle income,1970
North America,High income,1981
Latin America and Caribbean,Upper middle income,1966
Latin America and Caribbean,Upper middle income,1965
Europe and Central Asia,High income,1971
Europe and Central Asia,High income,1966
Europe and Central Asia,High income,1978
Europe and Central Asia,High income,2003
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,1962
Europe and Central Asia,High income,1998
Europe and Central Asia,High income,1939
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,1961
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,1962
Latin America and Caribbean,Upper middle income,1946
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1975
Latin America and Caribbean,Upper middle income,1990
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,2006
Latin America and Caribbean,Upper middle income,1985
North America,High income,1970
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1965
Latin America and Caribbean,Upper middle income,1971
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1989
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1987
North America,High income,1970
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1967
North America,High income,1969
Latin America and Caribbean,Upper middle income,1997
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1987
Latin America and Caribbean,Upper middle income,2003
Latin America and Caribbean,Upper middle income,1980
Latin America and Caribbean,Upper middle income,1975
Latin America and Caribbean,Upper middle income,1972
North America,High income,1946
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1949
Latin America and Caribbean,Upper middle income,1953
Latin America and Caribbean,Upper middle income,1991
Latin America and Caribbean,Upper middle income,1968
Latin America and Caribbean,Upper middle income,1969
Latin America and Caribbean,Upper middle income,1967
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1992
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2002
North America,High income,1905
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2010
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1985
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2014
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,2011
Latin America and Caribbean,Upper middle income,1992
Latin America and Caribbean,Upper middle income,2010
Latin America and Caribbean,Upper middle income,2007
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1968
North America,High income,1926
Latin America and Caribbean,Upper middle income,2011
Latin America and Caribbean,Upper middle income,2006
Latin America and Caribbean,Upper middle income,2006
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,2009
Latin America and Caribbean,Upper middle income,2010
Latin America and Caribbean,Upper middle income,2002
North America,High income,1968
Latin America and Caribbean,Upper middle income,1990
Latin America and Caribbean,Upper middle income,2014
Latin America and Caribbean,Upper middle income,2003
Latin America and Caribbean,Upper middle income,2009
Latin America and Caribbean,Upper middle income,2006
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1944
Latin America and Caribbean,Upper middle income,2006
Latin America and Caribbean,Upper middle income,1954
Latin America and Caribbean,Upper middle income,2008
Latin America and Caribbean,Upper middle income,2008
Latin America and Caribbean,Upper middle income,2012
Latin America and Caribbean,Upper middle income,1987
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2006
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1986
Europe and Central Asia,Upper middle income,1950
East Asia and Pacific,High income,1986
East Asia and Pacific,High income,2007
East Asia and Pacific,High income,1985
East Asia and Pacific,High income,2007
Europe and Central Asia,Upper middle income,1945
Europe and Central Asia,Upper middle income,1964
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1952
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,2010
Europe and Central Asia,Upper middle income,2001
Europe and Central Asia,Upper middle income,1953
Europe and Central Asia,Upper middle income,1945
Europe and Central Asia,Upper middle income,1920
Europe and Central Asia,Upper middle income,1921
North America,High income,1907
Europe and Central Asia,Upper middle income,1922
Europe and Central Asia,Upper middle income,1925
Europe and Central Asia,Upper middle income,1961
Europe and Central Asia,Upper middle income,1974
Europe and Central Asia,Upper middle income,1945
Europe and Central Asia,Upper middle income,1945
